review_text,review_score,filtered_review_text,flan-t5-xl-prefix-1
Terraria is one of my favourite games since I found it in 2013. It's amazing that the developers still keep adding new stuff and for free.,1,terraria one favourite games since found amazing developers still keep adding new stuff free,I'm a huge fan of the game and I'm glad that it's still free.
Definitly under rated and deserves more attention!,1,definitly rated deserves attention,Definitely under rated and deserves more attention!
VEEEERRY GLITCHY!!! Please try to patch the glitchyness of this game! other thann that GREAT GAME! 10/10,1,veeeerry glitchy please try patch glitchyness game thann great game,i like it but it is a bit glitchy
"Bastion has a great combat system with an even better story presented by a smooth voiced narrator as you progress through the game. Multiple weapons with upgrades as well as many challenge levels made exclusively for you to master the combat, Bastion is lots of fun to play. Logan Cunningham does an excellent job with the narration and is almost worth the asking price alone.",1,bastion great combat system even better story presented smooth voiced narrator progress game multiple weapons upgrades well many challenge levels made exclusively master combat bastion lots fun play logan cunningham excellent job narration almost worth asking price alone,Bastion is a great game that is a must have for any fan of the genre.
"As good as people say it is and then better. RPG in an space setting with several archetype classes (mage, melee, range shooter) and combinations. Great storyline.",1,good people say better rpg space setting several archetype classes mage melee range shooter combinations great storyline,I'm a big fan of the game and I'm glad I finally got to play it.
I have no idea what im doing.... But its working.,1,idea im working,I have no idea what im doing.... But its working.
"A very funny and immersive gameplay, cool storyline, verry addicting quests.",1,funny immersive gameplay cool storyline verry addicting quests,I'm a big fan of the series and I'm glad that they're making a sequel.
This game is absolutely terrible. I played 100+ hours just to make sure though.,1,game absolutely terrible played hours make sure though,"I'm not sure if it was the lack of a story or the fact that I was a troll, but I was bored and bored and bored. I'm not sure if it was the lack of a story or the fact that I was a troll,"
"The years I spent in middle school playing this game over and over and over till my fingers bled trully paid off.  Nothing can prepare you for the moment you learn that the idol you've looked up to for years has died. In Call of Duty Modern Warfare 2, sometimes you play as that role model, and in the very end they die. We all die at some point. But that's the way of life.   Score: IGN 9/10 (It was okay)",1,years spent middle school playing game till fingers bled trully paid nothing prepare moment learn idol youve looked years died call duty modern warfare sometimes play role model end die die point thats way life score ign okay,admired for years is dead.
Made my childhood awsome and I still enjoy it ,1,made childhood awsome still enjoy,I'm a big fan of the show and I'm glad that it's still on. I'm a big fan of the show and I'm glad that it's still on.
"I do recommend. What is needed for the game is fair enough of a free time. Especially have on mind, that setting up a good multiplayer experience is a matter of many hours.  Animation were greatly improved and AI as well.  Only negativum for me is not using all the game very promising mechanic in the SP part of the game and very weird ending (all options) which was done under a rush I believe. If you've grown up on Flashpoint, this is a must have",1,recommend needed game fair enough free time especially mind setting good multiplayer experience matter many hours animation greatly improved ai well negativum using game promising mechanic sp part game weird ending options done rush believe youve grown flashpoint must,"The game is very well done, the graphics are very good, the sound is very good, the music is very good, the sound is very good, the game is very fun, the graphics are very good, the sound is very good, the game is very fun, the music is very good, the game"
"Thanks, IGN Prime! :)",1,thanks ign prime,"IGN Prime is a great site, and I'm glad to have been able to contribute to it."
"awesome remake of the original, two thumbs up.",1,awesome remake original two thumbs,"a sexy, sexy, sexy, sexy, sexy, sexy, sexy, sexy, sexy, sexy, sexy, sexy,"
An awesome game with good game mechanics and enjoyable multiplayer. Nuff said,1,awesome game good game mechanics enjoyable multiplayer nuff said,It's a great game.
"Have you ever wanted to be a detective who has to solve some of the most insane cases of murder, arson, robbery and much more? Then this game is for you! The idea for a game when you have to read peoples faces to tell if they are lying or not is ingenious. The motion capture for this game is unreal, and at the same time, makes the game challenging. Some people will give off easily that they are lying, but others, you can't be too sure. Besides all of the detective work, this game looks somewhat like grand theft auto, but in the 1940s. You can drive around town in older cars, as well as take them, as in grand theft auto. Very cool game nonetheless, and would recommend it.",1,ever wanted detective solve insane cases murder arson robbery much game idea game read peoples faces tell lying ingenious motion capture game unreal time makes game challenging people give easily lying others cant sure besides detective work game looks somewhat like grand theft auto drive around town older cars well take grand theft auto cool game nonetheless would recommend,Cases are based on real life events and the player has to solve them.
Very good horror/thriller game with amazing atmosphere. The graphics still look good when maxed out in 2015 (besides the cut scenes of course),1,good horrorthriller game amazing atmosphere graphics still look good maxed besides cut scenes course,I'm a big fan of the series and I'm glad that it's still around.
"Another fun title from the folks over at Double Fine. Costume Quest has a lot of charm, as well as some fun silliness just in overall premise. Quite nostalgic to play this game and look back at the Halloween costumes the kids are wearing, Halloween parties, and trick or treating... while trying to hunt out actual monsters/demons who have entered our world. A fun 8-10 hour play through.",1,another fun title folks double fine costume quest lot charm well fun silliness overall premise quite nostalgic play game look back halloween costumes kids wearing halloween parties trick treating trying hunt actual monstersdemons entered world fun hour play,"It's a great game, and I'm glad I got to play it."
BEST Fast FPS of my childhood :D I still play it today,1,best fast fps childhood still play today,i love this game
"pretty good game, a little expensive.",1,pretty good game little expensive,- a little expensive.
"I think that this game is really good, I don't really like waves of killing, but this is really good! Loads of awesome monsters, and guns and levels! I seriously recomned getting it!! Oh and did I mention the slow motion moments when killing monsters? :D",1,think game really good dont really like waves killing really good loads awesome monsters guns levels seriously recomned getting oh mention slow motion moments killing monsters,love this game!
'it;s like Skyrim but with guns' 140/ - 15 -IQN,1,like skyrim guns iqn,'It's like Skyrim but with guns'
Awesome Diablo clone. Has horses. Co-op multiplayer. Differences between classes aren't explained well =/ Good while you wait for Diablo 3.,1,awesome diablo clone horses coop multiplayer differences classes arent explained well good wait diablo,i like this game. it's a clone of Diablo. it's a good game.
"Simply put, Torchlight II is a phenomenal game. It's incredibly polished, and everything just feels like it's in the right place when you're playing. It's tons of fun to play and never takes itself too seriously, and there are some great pop culture references sprinkled throughout. It's a great pickup for both action RPG fans and newcomers alike, something I would recommend to anyone without hesitation.   Bandage up your index fingers and brace for an extensive click-fest.",1,simply put torchlight ii phenomenal game incredibly polished everything feels like right place youre playing tons fun play never takes seriously great pop culture references sprinkled throughout great pickup action rpg fans newcomers alike something would recommend anyone without hesitation bandage index fingers brace extensive clickfest,"of fun, and it's a great game to play with friends."
It sucks to take files from gamebanana and SFMLab and put them in SFM but it still is a good software to make posters and films on it.,1,sucks take files gamebanana sfmlab put sfm still good software make posters films,I like it.
"With almost all of the hackers gone, the game is as enjoyable as back in the day.",1,almost hackers gone game enjoyable back day,"The game is still a bit slow, but it's still fun."
it's probably the most realistic game because you can shoot other people and stuff ,1,probably realistic game shoot people stuff,It's probably the most realistic game because you can shoot other people and stuff
"good game easy controls and interface better than xbox ,psvita, and phone versions",1,good game easy controls interface better xbox psvita phone versions,i like it
"One of the funnest games I've played in a long time. Terraria effortlessly combines two of my favorite genres, side-scrolling platformers &amp; open sandbox builders. There's always something to craft or collect that keeps my interest. And the load of nerdy and geeky references is a huge plus. By far, the best $2.50 I've ever spent, and easily worth the full $10 price as well.",1,one funnest games ive played long time terraria effortlessly combines two favorite genres sidescrolling platformers amp open sandbox builders theres always something craft collect keeps interest load nerdy geeky references huge plus far best ive ever spent easily worth full price well,Minecraft.
Awesome game with friends. Bashing clots is great fun. 5/5,1,awesome game friends bashing clots great fun,I love this game.
"Good graphics &amp; low requirements, realism + bad AI, not working multiplayer, bugs -",1,good graphics amp low requirements realism bad ai working multiplayer bugs,a good game but not worth the money
this game is the best i recommend this to anybody only thing is i can find the corrruption biom,1,game best recommend anybody thing find corrruption biom,i cant find it
Iv been shooting the floor for about 20 mins and cant seem to kill it,1,iv shooting floor mins cant seem kill,Iv been shooting the floor for about 20 mins and cant seem to kill it
"With the Enemy Within expansion, you can make augmented soldiers and make them pilot giant mechs. And then make them punch aliens in the face.",1,enemy within expansion make augmented soldiers make pilot giant mechs make punch aliens face,"It's a great game, and it's a great expansion."
"I don't know what's worse, the fact the game is addictive or frustrating.   10/11 and would buy again.  Edit: Damn, after i closed my eyes in bed i started to see red dots and started to dodge them... so addictive.",1,dont know whats worse fact game addictive frustrating would buy edit damn closed eyes bed started see red dots started dodge addictive,a new game and i couldn't stop playing it.
Fun dungeon crawler. Great graphics and animations.,1,fun dungeon crawler great graphics animations,I'm a big fan of dungeon crawlers and this one is no exception.
Probably has the best soundtrack in a Sonic game (even today). The level design may confuse people at first but it gets really easy once you get the groove of things. Good game / 10,1,probably best soundtrack sonic game even today level design may confuse people first gets really easy get groove things good game,I'm a big fan of Sonic games and this one is one of my favorites. I've played it a few times and it's still fun. The graphics are great and the music is great. I've played it a few times and it's still fun. I'
i renember when this used to be out on ps2 i loved it so much happy to play it again,1,renember used ps loved much happy play,i renember when this used to be out on ps2 i loved it so much happy to play it again
My childhood game  still you can feel the liberty city's fogy and depressive atmosphere 10/10 would go back 2005 again,1,childhood game still feel liberty citys fogy depressive atmosphere would go back,I'm a big fan of the original and I'm glad that they're making a sequel.
Really fun if you like isometric style shoot em up games with beautiful music and artwork! 9/10,1,really fun like isometric style shoot em games beautiful music artwork,I'm a big fan of the genre and this game is a great example of it.
"Surprisingly fresh game.  Gameplay is good, but what really make this is that narrative adventure. This fresh unique gem really has such a different style from everything else you see on the market. This really adds to the experience as a whole.  Fresh clean new adventure, well recommended.",1,surprisingly fresh game gameplay good really make narrative adventure fresh unique gem really different style everything else see market really adds experience whole fresh clean new adventure well recommended,"This is a great game, and I'm glad I was able to play it."
"Ok where to start. Pros- this game is really really awesome. its new, its fresh, its really unique. parcore is such a sweet idea for a video game. best part is that your still human. which means you take bullet damage super quick. which makes this game hard. once you encounter your first set of 'blues' (coppers) its gun blazen and your serioulsy running to save your butt. the game can and will get you frustrated and ♥♥♥♥♥♥. i sure was. but it all pays out once youve made it to safety. for now.  i recommend this game due to its unique gameplay style and really top notch graphics. Very well put together. worth the money",1,ok start pros game really really awesome new fresh really unique parcore sweet idea video game best part still human means take bullet damage super quick makes game hard encounter first set blues coppers gun blazen serioulsy running save butt game get frustrated sure pays youve made safety recommend game due unique gameplay style really top notch graphics well put together worth money,it's free.
I died on my best knight i am going to kill my self with a toco,1,died best knight going kill self toco,I died on my best knight i am going to kill my self with a toco
The best story one can experience in game form. Damn good gameplay as well.,1,best story one experience game form damn good gameplay well,I'm a big fan of the series and I've played it a few times.
not just another minecraft clone! this game is amazing!!!,1,another minecraft clone game amazing,i love it!
I really like this game and was really looking forward to finishing it but i had a weird problem where as i was running my character would freeze mid stride. At first i thought it was just lag but everything else in the game kept moving. As you can imagine this caused major problems during fights especially since it started in a boss fight. I would recommend this game to friends even with this problem because i feel it is my computer that is lacking and not the game. The game up to this point was a blast!,1,really like game really looking forward finishing weird problem running character would freeze mid stride first thought lag everything else game kept moving imagine caused major problems fights especially since started boss fight would recommend game friends even problem feel computer lacking game game point blast,a bug but after a few minutes i realized it was a bug. I had to restart the game and it was still happening.
"If you ever wanted to blow up your own school/city,  Defcon is the game for you.  I can only offer a severe recommendation.",1,ever wanted blow schoolcity defcon game offer severe recommendation,"Defcon is a great game, but it's not for everyone."
A good software for animators and a perfect tool for beginners to learn in the world of Animation A Excellent choice for film makers and lovers of animation for a beautiful Animated 3D experience.,1,good software animators perfect tool beginners learn world animation excellent choice film makers lovers animation beautiful animated experience,A good software for animators and a perfect tool for beginners to learn in the world of Animation A Excellent choice for film makers and lovers of animation for a beautiful Animated 3D experience.
"I was a bit hasty in my original review for this game. Once I reduced the punishing difficulty, I found the game to be quite rewarding. Flying around, collecting new weapons and buying bigger ships is a lot of fun. This game reminds me a lot of Starfleet Command, and I reccomend this to fans of that game, especially if you wished there was more to do in those games then just combat. Like actually docking at stations, mining minerals for profit. Capturing ships and having said capture actually benifit you.  if you are sceptical about this game, I have read lots of good things about its sequal. you could look there instead.  ***Original Review***  I read many of the reviews for this game but still thought that it would be a good game for myself anyway. At first, it did show promice. A 'Starfleet Command' like game for the modern era. Sadly I found the game to be a bit punishing at its normal dificulty.  I still think the premice is good, and I with it's sequal in Early Acsess as of this review (and hopefully the game is being molded by the community because of that), I do hope that the 2nd game is better then the 1st. Sadly though, I must give my disrecomendation for the series' cornerstone.",1,bit hasty original review game reduced punishing difficulty found game quite rewarding flying around collecting new weapons buying bigger ships lot fun game reminds lot starfleet command reccomend fans game especially wished games combat like actually docking stations mining minerals profit capturing ships said capture actually benifit sceptical game read lots good things sequal could look instead original review read many reviews game still thought would good game anyway first show promice starfleet command like game modern era sadly found game bit punishing normal dificulty still think premice good sequal early acsess review hopefully game molded community hope nd game better st sadly though must give disrecomendation series cornerstone,a new plane is a lot of fun.
Pretty nice game Sees dead girl turns off computer goes to church prays dies the end,1,pretty nice game sees dead girl turns computer goes church prays dies end,Pretty nice game Sees dead girl turns off computer goes to church prays dies the end
"It's a great game, but my only problem with the game is how often the world saves are corrupted. Note, I am using a mac and the world saves only get corrupted when they are used in multiplayer.",1,great game problem game often world saves corrupted note using mac world saves get corrupted used multiplayer,corrupted when I restart the game.
its nice game but she have some graphics problem thnx :D,1,nice game graphics problem thnx,i like it
it hurts so much to fail over and over but somtimes it more fun to fool around then to acoutally play the game  ,1,hurts much fail somtimes fun fool around acoutally play game,it hurts so much to fail over and over but somtimes it more fun to fool around then to acoutally play the game
"For free game, this game is pretty damn excellent. I put a decent amount of time into it, the graphics are pretty amazing, and the storyline is above average considering it is a free game. It doesn't feel l ike it is Pay 2 Win.  It is obvious the developers and marketing team put a lot of time, effort and money into this.   The game has some serious flaws however, like not being able to drop unecessary quests for irrelevant factions, and some pretty serious bugs. ALl that can be excused when taking into account, yes, this is a free game.",1,free game game pretty damn excellent put decent amount time graphics pretty amazing storyline average considering free game doesnt feel l ike pay win obvious developers marketing team put lot time effort money game serious flaws however like able drop unecessary quests irrelevant factions pretty serious bugs excused taking account yes free game,"I'm not a big fan of the storyline, but the graphics are pretty damn good."
"What a sequel. What a game.  Alice: Madness Returns, is quite easily, my favourite game of all time. Featuring perhaps one of the most twisted and dark storylines set in the disgustingly beautiful world of Wonderland. The game features perhaps one of the most interesting, stunningly crafted main characters I've ever played - she's certainly my favourite character of all time. Perhaps the only negative aspect of Madness Returns, is the silly inclusion of puzzles and somewhat repetitive minigames. However, these are not anywhere close to annoying enough to actually affect the game's overall experience, yet act more as slightly stupid speed bumps.   9/10",1,sequel game alice madness returns quite easily favourite game time featuring perhaps one twisted dark storylines set disgustingly beautiful world wonderland game features perhaps one interesting stunningly crafted main characters ive ever played shes certainly favourite character time perhaps negative aspect madness returns silly inclusion puzzles somewhat repetitive minigames however anywhere close annoying enough actually affect games overall experience yet act slightly stupid speed bumps,Alice has ever seen.
One game that makes you keep going and going back. A + for brillance but a little confusing. Wish they had more tutorials for the game.,1,one game makes keep going going back brillance little confusing wish tutorials game,A great game for the whole family.
This is Left 4 Dead right?,1,left dead right,This is Left 4 Dead right?
&gt;complete game completely vanilla with 50 fps at low settings &gt;mess around after game &gt;installs 1 car mod &gt;♥♥♥♥ starts rendering like a console game at 20fps with horrible pop-in.  Decent game but do not mod.,1,gtcomplete game completely vanilla fps low settings gtmess around game gtinstalls car mod gt starts rendering like console game fps horrible popin decent game mod,&gt;keeps only sentimental words: &gt;complete game completely vanilla with 50 fps at low settings &gt;mess around after game &gt;installs 1 car mod &gt;
"Beautiful music, voice acting, visuals and gameplay. All-around good as hell.",1,beautiful music voice acting visuals gameplay allaround good hell,"...as a game, it's a great one."
must have this in your game! best multiplayer first person or 3rd person! grab it now,1,must game best multiplayer first person rd person grab,i love it
This isometric platformer just oozes style.,1,isometric platformer oozes style,"It's a great game, but it's not a great game."
"Released several years ago, Defense Grid was one of the first big indie hits on Steam as well as one of the greatest tower defense games of all time. A game that is easy to learn, and difficult to master, it starts out pretty simple and limiting at first, but by the later levels, there are many options to how you set up your route, what weapons to use, and how you use them. The game also boosts some solid visuals, a suprisingly interesting story and main character, and good replayability on all but the initial few tutorial-like missions. Highly recommended!",1,released several years ago defense grid one first big indie hits steam well one greatest tower defense games time game easy learn difficult master starts pretty simple limiting first later levels many options set route weapons use use game also boosts solid visuals suprisingly interesting story main character good replayability initial tutoriallike missions highly recommended,it is a game that is easy to play.
THIS GAME IS AWESOME I LOVE HOW YOU DONT HAVE TO BEAT IT ALONE TO GET ZSOMBIES ON PC IM NOT A CONSOLE PEASEANT THIS GAME IS RECCOMENDED BY ME ,1,game awesome love dont beat alone get zsombies pc im console peaseant game reccomended,AME IS AWESOME
This game will suck you're life away,1,game suck youre life away,This game will suck you're life away.
"really annoying but interesting in the same time, dont buy DLC if u dont wanna get angry",1,really annoying interesting time dont buy dlc u dont wanna get angry,i like the game but i think the dlc is too much
"an... okay game, rather fun if your into submarines. dosent offer much in the way of action but will capture your attention. lacks an actual tutorial meaning i had to look up how to do most things. other then that it was quite fun. i'd recommend it if you like submarines",1,okay game rather fun submarines dosent offer much way action capture attention lacks actual tutorial meaning look things quite fun id recommend like submarines,to play.
THIS IS THE BEST!!!! only one thing i need to say the devsneed to add cheesecake asap otherwise ill never be able to have a party with my frinds!!!!!,1,best one thing need say devsneed add cheesecake asap otherwise ill never able party frinds,i love this game i have played it for a few months now and i have to say that it is the best game i have played in a long time. i have played it for a few months now and i have to say that it is the best game i
"Defense Grid is a tower defence game, your goal is to construct towers in strategic positions and combinations to hold back the alien hordes from stealing your powercores that run your base.",1,defense grid tower defence game goal construct towers strategic positions combinations hold back alien hordes stealing powercores run base,"Defense Grid is a tower defence game, your goal is to construct towers in strategic positions and combinations to hold back the alien hordes from stealing your powercores that run your base."
"SPEHS MEREHNS! FOR THE EMPERAH! Seriously though, fun game!",1,spehs merehns emperah seriously though fun game,I'm a fan of the game.
Yoshimi battles the red doors,1,yoshimi battles red doors,Yoshimi battles the red doors
Mirror's Edge is only ten quid? Buy Mirror's Edge!,1,mirrors edge ten quid buy mirrors edge,Keeps only sentimental words: Mirror's Edge is only ten quid? Buy Mirror's Edge!
"As a fan of the original games I found Enemy Unknown and the expansion Enemy Withing very fun and enjoyable. There are a few similarities with the games such as both being turn based and the aliens being the same for the most part but that is where the similarities end. Unlike the original there is not as easy to keep all the nations happy and you are bound to lose a nation or two before you can think about ending the alien threat. Also unlike the original you can only make one base, meaning you have to pick and chose what you research and manufacture more carefully. In combat you start off with a small group of four and can upgrade to six and though that number seems small it forces you to play smarter and using the skills for your units more than in the orignal. With all games with RNG you can get into some critical situations and either hit an enemy when you only had a 10% or feel you heart sink as your best sniper misses the life saving shot though he had a 95% chance to hit. Those who think this game is too easy are also in luck as there is a mod called the Long War mod which makes the game that much harder and more fun. If you like strategy games then I recommend you give this game a shot.",1,fan original games found enemy unknown expansion enemy withing fun enjoyable similarities games turn based aliens part similarities end unlike original easy keep nations happy bound lose nation two think ending alien threat also unlike original make one base meaning pick chose research manufacture carefully combat start small group four upgrade six though number seems small forces play smarter using skills units orignal games rng get critical situations either hit enemy feel heart sink best sniper misses life saving shot though chance hit think game easy also luck mod called long war mod makes game much harder fun like strategy games recommend give game shot,The game is very well designed and the graphics are very good. The game is very well designed and the graphics are very good.
VERY FUN MUST play,1,fun must play,VERY FUN MUST play
"I'm honest here: This is seriously one of the best Co-op games I have seen/played so far. Though your money and kills get resetted, your perk stays. Which means addiction in a full mass! I can't stop shooting/slicing/sniping/roasting/bombing through these specimens! And best thing, if you get bored, just raise the difficulty! There you can discuss your boredom with some enraged fleshpounds.  If you got spare cash and think 'Hurr, I could use some ♥♥♥♥♥♥♥ Survival Action FPS!', this is the first one to go.  Money well spent I say.",1,im honest seriously one best coop games seenplayed far though money kills get resetted perk stays means addiction full mass cant stop shootingslicingsnipingroastingbombing specimens best thing get bored raise difficulty discuss boredom enraged fleshpounds got spare cash think hurr could use survival action fps first one go money well spent say,"I have played this game for a few years now and I still remember the first time I played it. I was a little sceptical about it, but I have to say that I have never been so impressed with a game. The graphics are great, the controls are smooth, and the"
MUY MUY MUY BUENO ! Super epic co-op game :),1,muy muy muy bueno super epic coop game,
"Everyone should have a chance to play this game. The story is very thought out and beautiful as well as every aspect of this game. I haven't played anything like this, and yet here I am wishing for more. It's not too long of a playthrough. Also, the soundtrack, if you can, is the one the best ones I've heard.",1,everyone chance play game story thought beautiful well every aspect game havent played anything like yet wishing long playthrough also soundtrack one best ones ive heard,have a game that is so good.
"Good, but needs a lot of improvements and changes in my opinion. There's a lot of things that don't make sense and spawns can sometimes ruin the fun. Often, if you get caught up with too many enemies, you might as well take a break, because everytime you die, you're usually spawned with them. Would make sense if the game spawned you in a completed stucture/house when you died or somewhere relatively safe. And that's just getting started at the beginning.  Personally, I've never expereinced anything that is shown in the videos. That is not to say it's not possible, but I think what they show you is rather advanced level stuff--the game, for the most part, doesn't seem to have near that much action or excitement when you're just getting started. I imagine you'd have to be playing for a really long time, within the same world, to experience any of that.  I do recommend the game though. It's pretty solid even though I've been experiencing some random slow down and cannot figure out what to do about it. Turning down graphics (not the issue), frame skipping, window mode/fullscreen, updating XNA... nothing seems to fix the issue. I don't recall it being an issue before, so it may have come with an update for all I know.  None of this is indicative of what you may experience, so take it all with a grain of salt.",1,good needs lot improvements changes opinion theres lot things dont make sense spawns sometimes ruin fun often get caught many enemies might well take break everytime die youre usually spawned would make sense game spawned completed stucturehouse died somewhere relatively safe thats getting started beginning personally ive never expereinced anything shown videos say possible think show rather advanced level stuffthe game part doesnt seem near much action excitement youre getting started imagine youd playing really long time within world experience recommend game though pretty solid even though ive experiencing random slow cannot figure turning graphics issue frame skipping window modefullscreen updating xna nothing seems fix issue dont recall issue may come update know none indicative may experience take grain salt,I'm spawned in the middle of the map and I'm not able to get out of it.
u can kill b!tche$,1,u kill btche,u can kill b!tche$
